score,category,title,path,evidence,recommendation,monetization
100,AI客服,AI客服 - DESKTOP_PLATFORM_ASSISTANT,docs\DESKTOP_PLATFORM_ASSISTANT.md,﻿# 桌面客服辅助脚本使用说明,优先做网页客服自动回复 + 桌面辅助回复；官方 API 到位后再切抖音小店/微信客服自动发送。,按商家订阅收费，Starter 99/月，Pro 299/月，私有化部署 1999 起。
100,图文视频生成,图文视频生成 - ECOMMERCE_AUTOMATION_AUDIT,docs\ECOMMERCE_AUTOMATION_AUDIT.md,最值得做的产品不是单点“短视频生成器”，而是一个面向商家和代理商的 **电商 AI 自动化增长中台**：,先做主图/详情图/短视频脚本和画布模板，渲染服务后置接 HyperFrames/Remotion。,按生成次数、模板包、行业素材包收费。
100,AI客服,AI客服 - HOW_TO_USE_AI_CUSTOMER_SERVICE_SYSTEM,docs\HOW_TO_USE_AI_CUSTOMER_SERVICE_SYSTEM.md,﻿# AI 客服 SaaS 使用说明,优先做网页客服自动回复 + 桌面辅助回复；官方 API 到位后再切抖音小店/微信客服自动发送。,按商家订阅收费，Starter 99/月，Pro 299/月，私有化部署 1999 起。
100,图文视频生成,图文视频生成 - IMPLEMENTATION_DESIGN_2026-06-25,docs\IMPLEMENTATION_DESIGN_2026-06-25.md,先把当前 `商剪增长画布` 从“能生成脚本的 SaaS 原型”升级成“能演示完整商家运营闭环的中台”。第一版不追求全自动发布，也不直接整合所有本地项目，而是把最能卖钱、最能演示、最安全的链路跑通：,先做主图/详情图/短视频脚本和画布模板，渲染服务后置接 HyperFrames/Remotion。,按生成次数、模板包、行业素材包收费。
100,图文视频生成,图文视频生成 - POST_DEPLOY_REVIEW,docs\POST_DEPLOY_REVIEW.md,- 首页 HyperFrames 作品集主视觉。,先做主图/详情图/短视频脚本和画布模板，渲染服务后置接 HyperFrames/Remotion。,按生成次数、模板包、行业素材包收费。
100,部署交付,部署交付 - 交付审计与记忆点,运营计划\交付审计与记忆点.md,## 必须长期记住的产品原则,整理为可复制部署包、验收脚本、客户教程，减少交付返工。,卖部署服务、二开服务和月度运维。
100,AI客服,AI客服 - 各程序测试验收清单,运营计划\今日交付包\各程序测试验收清单.md,# 各程序测试验收清单,优先做网页客服自动回复 + 桌面辅助回复；官方 API 到位后再切抖音小店/微信客服自动发送。,按商家订阅收费，Starter 99/月，Pro 299/月，私有化部署 1999 起。
100,AI客服,AI客服 - 需求雷达,运营计划\今日交付包\需求雷达\需求雷达.json,"""category"": ""AI客服"",",优先做网页客服自动回复 + 桌面辅助回复；官方 API 到位后再切抖音小店/微信客服自动发送。,按商家订阅收费，Starter 99/月，Pro 299/月，私有化部署 1999 起。
100,AI客服,AI客服 - 需求雷达报告,运营计划\今日交付包\需求雷达\需求雷达报告.md,- AI客服：39 条,优先做网页客服自动回复 + 桌面辅助回复；官方 API 到位后再切抖音小店/微信客服自动发送。,按商家订阅收费，Starter 99/月，Pro 299/月，私有化部署 1999 起。
100,AI客服,AI客服 - main,src\main.tsx,"{question: '你们能做什么？', answer: '我们可以自动回复客户咨询，并把高意向客户标记出来。'},",优先做网页客服自动回复 + 桌面辅助回复；官方 API 到位后再切抖音小店/微信客服自动发送。,按商家订阅收费，Starter 99/月，Pro 299/月，私有化部署 1999 起。
